danceability_delta,energy_delta,loudness_delta,speechiness_delta,acoutsicness_delta,liveness_delta,valence_delta,duration_delta,followers_delta,popularity,similar_genres,same_artist,artist,artist_gender,seed_artist,seed_artist_gender,same_gender,rec_rank,artist_male,artist_female
0.067,0.193,2.874,0.0081,0.107,0.121,0.146,37.23,17768454,78,1,0,BROCKHAMPTON,C,Harry Styles,M,0,1,0,0
0.191,0.287,4.635,0.014,0.2842,0.198,0.437,114.903,19511178,74,0,0,The Backseat Lovers,F,Harry Styles,M,0,2,0,1
0.095,0.197,1.381,0.0171,0.236,0.2503,0.469,69.11,31556579,100,1,0,Taylor Swift,F,Harry Styles,M,0,3,0,1
0.055,0.546,6.65,0.022,0.596,0.204,0.068,36.992,11365492,85,1,0,Niall Horan,C,Harry Styles,M,0,4,0,0
0.004,0.575,8.081,0.0207,0.485,0.195,0.252,-0.657,19008609,74,1,0,Joshua Bassett,C,Harry Styles,M,0,5,0,0
0.158,0.3,1.411,0.0231,0.179,0.164,0.258,7.377,14485032,86,1,0,Conan Gray,M,Harry Styles,M,1,6,1,0
0.276,0.086,0.525,0.0101,0.34022,0.01,0.133,21.004,19214965,76,1,0,COIN,F,Harry Styles,M,0,7,0,1
0.187,0.061,0.799,0.0234,0.178,0.202,0.16,55.817,18916334,72,1,0,Maggie Rogers,M,Harry Styles,M,1,8,1,0
0.013,0.434,3.105,0.0111,0.117,0.166,0.544,71.774,11365492,85,1,0,Niall Horan,C,Harry Styles,M,0,9,0,0
0.225,0.009,0.963,0.0132,0.028,0.19,0.204,23.079,11319991,87,1,0,5 Seconds of Summer,F,Harry Styles,M,0,10,0,1
0.123,0.06,2.112,0.0285,0.101,0.191,0.365,-3.956,249501,85,1,0,ZAYN,M,Harry Styles,M,1,11,1,0
0.076,0.6386,10.267,0.0191,0.442,0.007,0.443,81.505,10517578,91,1,0,Frank Ocean,M,Harry Styles,M,1,12,1,0
0.104,0.084,0.658,0.0222,0.3251,0.09,0.283,111.497,0,93,1,1,Harry Styles,M,Harry Styles,M,1,13,1,0
0.256,0.446,9.87,0.0172,0.55,0.033,0.5844,73.368,14248659,82,1,0,The 1975,F,Harry Styles,M,0,14,0,1
0.245,0.068,0.115,0.0095,0.201,0.2186,0.024,-14.01,19383713,73,1,0,ROLE MODEL,F,Harry Styles,M,0,15,0,1
